Word	Lemma	Part of Speech	Gloss
uncrum	uncer	adj	our two
sigedryhtne	sigedryhten	dsn	victory-lord
song	song	asn	song
āhofan,	āhebban	pret.pv	raised
hlude	hlude	adv	loudly
bī	bī	prep	with
hearpan	hearpe	dsn	harp
hlēoþor	hlēoþor	n	song
swinsade,	swinsian	pret.sv	sing out
þonne	þonne	adv	then
monige	monig	adj	many
men,	monn	npn	men
mōdum	mōd	ipn	spirits
wlonce,	wlonc	adj	proud
wordum	word	ipn	words
sprēcan,	sprecan	pret.sv	spoke
þa	sē	nppn	they
þe	þe	in	who
wēl	wēl	adv	well
cuþan,	cunnan	pret.pv	knew
þæt	þæt	conj	that
hī	hē	npn	he
nǣfre	nǣfre	adv	never
song	song	asn	a song
sēllan	sēl	adj	good
ne	ne	negative	not
hȳrdon.	hȳran	pret.pv	heard
Ðonan	ðonan	adv	thence
ic	ic	pn	I
ealne	eal	asadj	all
geondhwearf	geondhweorfan	pret.sv	traverse
ēþel	ēþel	asn	fatherland
Gotena,	Gotan	gsn	of the Ostrogoths
sōhte	sēcan	pret.sv	sought
ic	ic	pn	I
gesīþa	gesīþ	apn	battle comrades
þa	sē	art	the
sēlestan;	sēl	art	best
þæt	sē	nsn	that
wæs	wesan	psv	were
innweorud	innweorud	n	native peoples
Earmanrīces.	Eormanrīc	dsn	Ermanric
Heðcan	Heðca	asn	Hache
sōhte	sēcan	pret.sv	sought
ic	ic	pn	I
ond	ond	conj	and
Beadecan	Beadeca	asn	Beadecan
ond	ond	conj	and
Herelingas,	Herelingas	apn	Herelingas
Emercan	Emerca	asn	Emerca
sōhte	sēcan	pret.sv	sought
ic	ic	pn	I
ond	ond	conj	and
Fridlan	Fridla	asn	Fridla
ond	ond	conj	and
Eastgotan,	Eastgota	asn	Ostrogotha
frōdne	frōd	adj	wise
ond	ond	conj	and
gōdne	gōd	adj	good
fæder	fæder	asn	father
Unwenes.	Unwen	gsm	of Unwen
Seccan	Secca	asn	Secca
sōhte	sēcan	pret.sv	sought
ic	ic	pn	I
ond	ond	conj	and
Beccan,	Becca	asn	Becca
Seafolan	Seafola	asn	Seafola
ond	ond	conj	and
þeodric,	þeodric	asn	Theodric
Heaþoric	Heaþoric	asn	Heathoric
ond	ond	conj	and
Sifecan,	Sifeca	asn	Sifeca
Hlīþe	Hlīþe	asn	Lotherus
ond	ond	conj	and
Incgenþeow.	Incgenþeow	asn	Incgenþeow
Eadwine	Eadwine	asn	Edwin
sōhte	sēcan	pret.sv	sought
ic	ic	pn	I
ond	ond	conj	and
Elsan,	Elsa	asn	Elsa
Ægelmund	Ægelmund	asn	Agelmund
ond	ond	conj	and
Hungar,	Hungar	asn	Hungar
ond	ond	conj	and
þā	sē	asn	the
wloncan	wlonc	adj	proud
gedryht	gedryht	asn	company
Wiþmyrginga.	Wiþmyrgingas	gpn	the Wiþmyrgings
Wulfhere	Wulfhere	asn	Wulfhere
sōhte	sēcan	pret.sv	sought
ic	ic	pn	I
ond	ond	conj	and
Wyrmhere;	Wyrmhere	asn	Wyrmhere
ful	ful	adv	very
oft	oft	adv	often
þǣr	þǣr	adv	there
wig	wig	nsn	warfare
ne	ne	negative	not
ālæg,	ālicgan	pret.sv	rest
þonne	þonne	conj	when
Hræda	Hræde	gsn	Hræde
here	here	nsn	army
heardum	heard	adj	hard
sweordum	sweord	ipn	swords
ymb	ymb	prep	about
Wistlawudu	Wistlawudu	gpn	The Wistle wood
wergan	wergan	v	defend
sceoldon	sculan	pret.pv	shall
ealdne	eal	adj	old
ēþelstōl	ēþelstōl	asn	ancestral land
Ætlan	Ætla	gsn	Atilla's
lēodum.	lēod	dpn	people
Rædhere	Rædhere	asn	Rædhere
sōhte	sēcan	pret.sv	sought
ic	ic	pn	I
ond	ond	conj	and
Rondhere,	Rondhere	asn	Rondhere
Rumstan	Rumstan	asn	Rumstan
ond	ond	conj	and
Gislhere,	Gislhere	asn	Gislaharius
Wiþergield	Wiþergield	asn	Wiþergield
ond	ond	conj	and
Freoþerīc,	Freoþerīc	asn	Freoþeric
Wudgan	Wudga	asn	Wudga
ond	ond	conj	and
Haman;	Hama	asn	Hama
ne	ne	negative	not
wæran	wesan	ppv	were
þæt	sē	aspn	that
gesīþa	gesīþ	gpn	comrades in arms
þa	sē	npart	the
sǣmestan,	sǣmest	adj	worst
þēah	þēah	conj	although
þe	þe	in	who
ic	ic	pn	I
hȳ	hē	apn	he
anīhst	a-nīhst	adv	at the last
nemnan	nemnan	v	name
sceolde.	sculan	pret.sv	should
Ful	ful	adv	very
oft	oft	adv	often
of	of	prep	from
þām	sē	adj	that
hēape	hēap	dsn	company
hwīnende	hwīnan	ppv	whining
fleag	flēogan	pret.sv	fly
giellende	giellan	verb	yelling
gar	gar	n	spear
on	on	prep	in
grome	grom	adj	hostile
þēode;	þēod	asn	band
wræccan	wræcca	npn	wanderers
þǣr	þǣr	adv	there
weold	wealdan	ppv	ruled
wundnan	windan	past participle v	wound
golde	gold	isn	gold
werum	wer	ipn	men
ond	ond	conj	and
wīfum,	wīf	ipn	women
Wudga	Wudga	nsn	Wudga
ond	ond	conj	and
Hama.	Hama	nsn	Hama
Swā	swā	adv	thus
ic	ic	pn	I
þæt	sē	asn	that
symle	simle	adv	always
onfond	onfindan	pret.sv	found out
on	on	prep	in
þære	sē	adj	that
fēringe,	fēring	dsn	journeying
þæt	þæt	conj	that
sē	sē	dem.pn	that
biþ	bēon	pres.v	be
lēofast	lēof	adv	dearest
londbūendum	londbūend	dpn	subjects
sē	sē	dem.pn	that
þe	þe	in	who
him	hē	dsn	him
God	God	n	God
syleð	syllan	pres.sv	give
gumena	guma	gpn	men's
rīce	rīce	asn	rule
to	to	prep	to
gehealdenne,	gehealdan	gerund	holding
þenden	þenden	conj	while
hē	hē	nsppn	he
hēr	hēr	nsn	here
leofað.	lifgan	psv	lives
Swā	swā	conj	as
scrīþende	scrīþan	participle	wandering
gesceapum	gesceap	ipn	fate
hweorfað	hweorfan	ppv	roved
glēomen	glēomonn	npm	glee-man, minstrel
gumena	guma	gpn	men
geond	geond	prep	throughout
grunda	grund	gpn	region
fela,	fela	adj	many
þearfe	þearf	asn	need
secgað,	secgan	pres.pv	says
þoncword	þoncword	apn	thank-words
sprecaþ,	sprecan	pres.pv	speaking
simle	simle	adv	always
sūð	sūð	adv	south
oþþe	oþþe	conj	or
norð	norþ	adv	north
sumne	sum	aspn	some one
gemētað	gemētan	v	met
gydda	gydd	gpn	poem
glēawne,	glēaw	adj	appreciative
geofum	giefu	ipn	gifts
unhnēawne,	unhnēaw	adj	generous
se	se	dem.pn	that
þe	þe	in	who
fore	fore	prep	before
duguþe	duguþ	dsn	royal military men
wile	willan	pres.sv	will
dōm	dōm	asn	reputation
ārǣran,	ārǣran	v	to heighten
eorlscipe	eorlscipe	nsn	noble behavior
æfnan,	æfnan	v	practice
oþþæt	oþ þæt	conj	until
eal	eal	adj	all
scæceð,	scacan	pres.sv	pass
lēoht	lēoht	nsn	light
ond	ond	conj	and
līf	līf	nsn	life
somod;	somod	adv	together
lof	lof	asn	praise
se	se	dem.pn	that
gewyrceð,	gewyrcan	v	works
hafað	habban	psv	has
under	under	prep	under
heofonum	heofon	dpn	the heavens
hēahfæstne	hēahfæst	adj	lasting
dōm.	dōm	asn	glory
