Lemma	form	POS	Gloss
syllan	syleð	pres.sv	give
to	to	prep	to
to	to	prep	to
to	to	prep	to
to	to	prep	to
to	to	prep	to
uncer	uncrum	adj	our two
under	under	prep	under
under	under	prep	under
unhnēaw	unhnēaweste	adj	generous
unhnēaw	unhnēawne,	adj	generous
Unwen	Unwenes.	gsm	of Unwen
Wada	Wada	nsn	Wada
wæcnan	onwocon.	pret.pv	awoke
wærloga	wærlogan.	dpn	oath-breaker
Wærne	Wærnum	dpn	the Varni
Walas	Wala	gpn	Roman's
Wald	Wald	nsn	Wald
wealdan	wealdan!	pret.sv	rule
wealdan	weold	psv	ruled
wealdan	weold	psv	ruled
wealdan	weold	psv	ruled
wealdan	weold	psv	ruled
wealdan	weold	psv	ruled
wealdan	weold,	psv	ruled
wealdan	weold	psv	ruled
wealdan	weold	ppv	ruled
wēl	wēl	adv	well
Wenlas	Wenlum	dpn	Wenlas
wer	werum	ipn	men
wergan	wergan	v	defend
Wern	Wernum.	dpn	the Werns
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	Næs	psv	was not
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	were
wesan	wæran	ppv	were
wicingas	wicinga	gpn	the Wicing
Wicingas	wicingum.	dpn	the Wicings
wið	wið	prep	against
wīde	wīde.	adv	widely
Widsið	Widsið	nsn	Widsith
wīf	wīfum,	ipn	women
wig	wig	nsn	warfare
willa	wilna,	gpn	desirable things
willan	wile.	pret.sv	will
willan	wile	pres.sv	will
wīnburg	wīnburga	gpn	wine-borough
windan	wundnan	past participle v	wound
Winedas	Winedum	dpn	Winedas
wiola	wiolena	gpn	riches
Wistlawudu	Wistlawudu	gpn	The Wistle wood
wit	wit	pn	we two
witan	wisse	pret.sv	knew
Witta	Witta	nsn	Witta
Wiþergield	Wiþergield	asn	Wiþergield
Wiþmyrgingas	Wiþmyrginga.	gpn	the Wiþmyrgings
wlonc	wlonce,	adj	proud
wlonc	wloncan	adj	proud
Wod	Wod	nsn	Wod
Woingas	Woingum,	dpn	the Woings
word	wordum	ipn	words
wordhord	wordhord	as	wordhoard/vocabulary
worn	worn	asn	a great number (of words)
wræcca	wræccan	npn	wanderers
wraþ	wraþes	adj	hostile
Wrosnan	Wrosnum.	dpn	Wrosnan
Wudga	Wudgan	asn	Wudga
Wudga	Wudga	nsn	Wudga
Wulfhere	Wulfhere	asn	Wulfhere
Wulfingas	Wulfingum,	dpn	the Wulfings
wyrcan	wyrcenne,	dsn	earning
Wyrmhere	Wyrmhere;	asn	Wyrmhere
yfel	yfles	gsn	evil things
ymb	ymb	prep	about
Yte	Ytum	dpn	the Jutes
Yumbran	Ymbrum,	dpn	the Ymbran
þa	þa	adv	then
þā	þa	conj	when
þā	þā	adv	then
